x, f(x), mean, lower, upper, acq
0.554000,1.303496,0.992601,0.297824,1.687377,0.123060
0.555000,1.312283,0.990886,0.262717,1.719054,0.128898
0.556000,1.320466,0.989163,0.227801,1.750524,0.134692
0.557000,1.328033,0.987432,0.193084,1.781780,0.140443
0.558000,1.334972,0.985694,0.158571,1.812817,0.146148
0.559000,1.341274,0.983949,0.124270,1.843628,0.151806
0.560000,1.346928,0.982197,0.090185,1.874208,0.157417
0.561000,1.351925,0.980438,0.056323,1.904553,0.162979
0.562000,1.356257,0.978673,0.022688,1.934657,0.168491
0.563000,1.359916,0.976902,-0.010713,1.964517,0.173954
0.564000,1.362895,0.975124,-0.043878,1.994127,0.179366
0.565000,1.365188,0.973342,-0.076800,2.023484,0.184726
0.566000,1.366791,0.971554,-0.109476,2.052583,0.190033
0.567000,1.367699,0.969761,-0.141901,2.081423,0.195288
0.568000,1.367910,0.967964,-0.174072,2.109999,0.200489
0.569000,1.367420,0.966162,-0.205985,2.138308,0.205636
0.570000,1.366229,0.964356,-0.237636,2.166347,0.210729
0.571000,1.364336,0.962546,-0.269023,2.194114,0.215766
0.572000,1.361743,0.960732,-0.300142,2.221607,0.220748
0.573000,1.358451,0.958916,-0.330991,2.248823,0.225675
0.574000,1.354463,0.957096,-0.361567,2.275759,0.230545
0.575000,1.349782,0.955274,-0.391868,2.302415,0.235360
0.576000,1.344415,0.953449,-0.421891,2.328789,0.240117
0.577000,1.338365,0.951623,-0.451634,2.354879,0.244818
0.578000,1.331642,0.949794,-0.481095,2.380684,0.249462
0.579000,1.324252,0.947964,-0.510273,2.406202,0.254049
0.580000,1.316204,0.946133,-0.539167,2.431433,0.258578
0.581000,1.307510,0.944301,-0.567774,2.456376,0.263051
0.582000,1.298179,0.942469,-0.596093,2.481031,0.267466
0.583000,1.288223,0.940636,-0.624124,2.505396,0.271823
0.584000,1.277657,0.938803,-0.651866,2.529472,0.276124
0.585000,1.266494,0.936970,-0.679317,2.553258,0.280367
0.586000,1.254748,0.935138,-0.706478,2.576754,0.284552
0.587000,1.242436,0.933307,-0.733347,2.599960,0.288681
0.588000,1.229575,0.931476,-0.759924,2.622876,0.292752
0.589000,1.216181,0.929647,-0.786209,2.645503,0.296767
0.590000,1.202275,0.927820,-0.812202,2.667841,0.300725
0.591000,1.187874,0.925994,-0.837903,2.689890,0.304626
0.592000,1.173000,0.924170,-0.863312,2.711652,0.308471
0.593000,1.157673,0.922349,-0.888428,2.733126,0.312259
0.594000,1.141914,0.920530,-0.913254,2.754314,0.315992
0.595000,1.125746,0.918714,-0.937788,2.775217,0.319669
0.596000,1.109192,0.916902,-0.962032,2.795835,0.323290
0.597000,1.092275,0.915092,-0.985986,2.816170,0.326856
0.598000,1.075020,0.913286,-1.009651,2.836223,0.330367
0.599000,1.057451,0.911484,-1.033027,2.855995,0.333824
0.600000,1.039592,0.909686,-1.056116,2.875488,0.337227
0.601000,1.021471,0.907892,-1.078918,2.894702,0.340575
0.602000,1.003111,0.906102,-1.101435,2.913640,0.343871
0.603000,0.984541,0.904318,-1.123668,2.932303,0.347113
0.604000,0.965785,0.902538,-1.145618,2.950693,0.350302
0.605000,0.946872,0.900763,-1.167286,2.968811,0.353439
0.606000,0.927828,0.898993,-1.188673,2.986659,0.356523
0.607000,0.908679,0.897229,-1.209782,3.004239,0.359557
0.608000,0.889454,0.895470,-1.230613,3.021553,0.362539
0.609000,0.870179,0.893717,-1.251168,3.038603,0.365470
0.610000,0.850881,0.891970,-1.271449,3.055390,0.368352
0.611000,0.831589,0.890230,-1.291458,3.071917,0.371183
0.612000,0.812328,0.888496,-1.311195,3.088186,0.373965
0.613000,0.793127,0.886768,-1.330664,3.104199,0.376698
0.614000,0.774010,0.885047,-1.349865,3.119958,0.379383
0.615000,0.755006,0.883333,-1.368801,3.135466,0.382019
0.616000,0.736140,0.881625,-1.387473,3.150723,0.384609
0.617000,0.717439,0.879925,-1.405883,3.165734,0.387151
0.618000,0.698926,0.878233,-1.424034,3.180500,0.389647
0.619000,0.680628,0.876547,-1.441928,3.195023,0.392097
0.620000,0.662570,0.874870,-1.459566,3.209305,0.394501
0.621000,0.644774,0.873200,-1.476950,3.223350,0.396860
0.622000,0.627265,0.871538,-1.494084,3.237159,0.399175
0.623000,0.610066,0.869884,-1.510968,3.250735,0.401446
0.624000,0.593198,0.868238,-1.527605,3.264080,0.403673
0.625000,0.576683,0.866600,-1.543998,3.277197,0.405858
0.626000,0.560543,0.864970,-1.560148,3.290089,0.408000
0.627000,0.544797,0.863349,-1.576058,3.302756,0.410100
0.628000,0.529464,0.861737,-1.591729,3.315203,0.412159
0.629000,0.514563,0.860133,-1.607165,3.327432,0.414177
