x, f(x), mean, lower, upper, acq
0.332000,0.502130,1.442746,-0.634425,3.519916,5.526704
0.333000,0.489274,1.443470,-0.649880,3.536821,5.561098
0.334000,0.476412,1.444046,-0.665230,3.553322,5.594827
0.335000,0.463536,1.444475,-0.680471,3.569422,5.627892
0.336000,0.450642,1.444763,-0.695599,3.585125,5.660295
0.337000,0.437720,1.444912,-0.710609,3.600433,5.692039
0.338000,0.424763,1.444926,-0.725497,3.615350,5.723124
0.339000,0.411763,1.444809,-0.740261,3.629879,5.753554
0.340000,0.398711,1.444564,-0.754895,3.644024,5.783331
0.341000,0.385598,1.444195,-0.769397,3.657786,5.812457
0.342000,0.372414,1.443704,-0.783762,3.671171,5.840935
0.343000,0.359150,1.443096,-0.797988,3.684180,5.868766
0.344000,0.345795,1.442373,-0.812071,3.696818,5.895955
0.345000,0.332341,1.441540,-0.826008,3.709087,5.922503
0.346000,0.318776,1.440598,-0.839795,3.720992,5.948414
0.347000,0.305092,1.439552,-0.853430,3.732534,5.973689
0.348000,0.291278,1.438404,-0.866909,3.743717,5.998333
0.349000,0.277325,1.437158,-0.880229,3.754545,6.022348
0.350000,0.263224,1.435816,-0.893389,3.765021,6.045736
0.351000,0.248966,1.434382,-0.906384,3.775148,6.068502
0.352000,0.234543,1.432859,-0.919212,3.784929,6.090648
0.353000,0.219946,1.431248,-0.931871,3.794367,6.112177
0.354000,0.205168,1.429555,-0.944357,3.803466,6.133091
0.355000,0.190202,1.427780,-0.956670,3.812229,6.153395
0.356000,0.175042,1.425927,-0.968805,3.820659,6.173092
0.357000,0.159683,1.423999,-0.980760,3.828758,6.192184
0.358000,0.144119,1.421998,-0.992535,3.836531,6.210674
0.359000,0.128348,1.419927,-1.004125,3.843979,6.228566
0.360000,0.112365,1.417789,-1.015529,3.851106,6.245862
0.361000,0.096168,1.415586,-1.026744,3.857916,6.262566
0.362000,0.079757,1.413320,-1.037769,3.864410,6.278681
0.363000,0.063130,1.410995,-1.048602,3.870592,6.294209
0.364000,0.046290,1.408612,-1.059240,3.876464,6.309154
0.365000,0.029236,1.406174,-1.069682,3.882029,6.323519
0.366000,0.011972,1.403683,-1.079925,3.887291,6.337306
0.367000,-0.005498,1.401141,-1.089968,3.892251,6.350518
0.368000,-0.023169,1.398552,-1.099809,3.896913,6.363159
0.369000,-0.041037,1.395916,-1.109446,3.901278,6.375231
0.370000,-0.059093,1.393236,-1.118877,3.905350,6.386736
0.371000,-0.077329,1.390515,-1.128101,3.909131,6.397678
0.372000,-0.095738,1.387754,-1.137116,3.912623,6.408059
0.373000,-0.114308,1.384955,-1.145920,3.915830,6.417882
0.374000,-0.133028,1.382121,-1.154511,3.918752,6.427149
0.375000,-0.151886,1.379253,-1.162888,3.921393,6.435862
0.376000,-0.170869,1.376353,-1.171049,3.923754,6.444025
0.377000,-0.189963,1.373423,-1.178993,3.925839,6.451638
0.378000,-0.209152,1.370465,-1.186718,3.927648,6.458706
0.379000,-0.228420,1.367480,-1.194223,3.929184,6.465229
0.380000,-0.247751,1.364472,-1.201506,3.930449,6.471209
0.381000,-0.267127,1.361440,-1.208565,3.931445,6.476650
0.382000,-0.286528,1.358387,-1.215400,3.932174,6.481553
0.383000,-0.305936,1.355315,-1.222008,3.932637,6.485919
0.384000,-0.325331,1.352224,-1.228388,3.932837,6.489751
0.385000,-0.344692,1.349118,-1.234539,3.932775,6.493050
0.386000,-0.363997,1.345996,-1.240460,3.932452,6.495818
0.387000,-0.383225,1.342862,-1.246148,3.931871,6.498057
0.388000,-0.402353,1.339715,-1.251603,3.931032,6.499767
0.389000,-0.421358,1.336558,-1.256822,3.929938,6.500951
0.390000,-0.440218,1.333392,-1.261806,3.928589,6.501610
0.391000,-0.458909,1.330218,-1.266551,3.926987,6.501744
0.392000,-0.477407,1.327038,-1.271058,3.925133,6.501355
0.393000,-0.495689,1.323852,-1.275324,3.923028,6.500444
0.394000,-0.513730,1.320663,-1.279348,3.920674,6.499013
0.395000,-0.531507,1.317471,-1.283129,3.918071,6.497061
0.396000,-0.548995,1.314278,-1.286666,3.915221,6.494590
0.397000,-0.566171,1.311084,-1.289956,3.912124,6.491600
0.398000,-0.583011,1.307891,-1.292999,3.908782,6.488091
0.399000,-0.599492,1.304700,-1.295793,3.905194,6.484066
0.400000,-0.615591,1.301512,-1.298337,3.901362,6.479523
0.401000,-0.631284,1.298329,-1.300630,3.897287,6.474463
0.402000,-0.646549,1.295150,-1.302670,3.892969,6.468886
0.403000,-0.661365,1.291977,-1.304456,3.888409,6.462793
0.404000,-0.675710,1.288810,-1.305986,3.883607,6.456184
0.405000,-0.689563,1.285652,-1.307259,3.878563,6.449058
0.406000,-0.702905,1.282502,-1.308274,3.873278,6.441415
0.407000,-0.715716,1.279362,-1.309028,3.867753,6.433256
0.408000,-0.727977,1.276233,-1.309522,3.861987,6.424579
0.409000,-0.739671,1.273114,-1.309753,3.855981,6.415384
0.410000,-0.750780,1.270007,-1.309721,3.849735,6.405672
0.411000,-0.761289,1.266913,-1.309422,3.843249,6.395441
0.412000,-0.771183,1.263833,-1.308857,3.836523,6.384691
0.413000,-0.780446,1.260766,-1.308024,3.829557,6.373421
0.414000,-0.789067,1.257714,-1.306921,3.822350,6.361630
0.415000,-0.797033,1.254678,-1.305548,3.814903,6.349317
0.416000,-0.804334,1.251657,-1.303901,3.807216,6.336482
0.417000,-0.810958,1.248654,-1.301981,3.799288,6.323123
0.418000,-0.816897,1.245667,-1.299785,3.791119,6.309239
0.419000,-0.822144,1.242698,-1.297312,3.782708,6.294829
0.420000,-0.826692,1.239747,-1.294561,3.774055,6.279892
0.421000,-0.830536,1.236815,-1.291531,3.765160,6.264426
0.422000,-0.833671,1.233902,-1.288219,3.756023,6.248430
0.423000,-0.836093,1.231009,-1.284624,3.746641,6.231903
0.424000,-0.837802,1.228135,-1.280745,3.737016,6.214842
0.425000,-0.838795,1.225282,-1.276581,3.727146,6.197247
0.426000,-0.839074,1.222450,-1.272129,3.717030,6.179116
0.427000,-0.838639,1.219640,-1.267389,3.706668,6.160446
0.428000,-0.837493,1.216850,-1.262359,3.696059,6.141237
0.429000,-0.835640,1.214083,-1.257037,3.685203,6.121486
0.430000,-0.833084,1.211337,-1.251423,3.674098,6.101191
0.431000,-0.829830,1.208614,-1.245514,3.662743,6.080351
0.432000,-0.825885,1.205914,-1.239309,3.651137,6.058964
0.433000,-0.821257,1.203237,-1.232806,3.639280,6.037027
0.434000,-0.815954,1.200583,-1.226005,3.627170,6.014539
